time,id,from,at,to,open,close,low,high,volume
2025-10-14 06:04:00,2971882,1760421840,1760421900000000000,1760421900,0.90869,0.908575,0.908525,0.90873,308
2025-10-14 06:05:00,2971883,1760421900,1760421960000000000,1760421960,0.908585,0.90876,0.908565,0.90891,372
2025-10-14 06:06:00,2971884,1760421960,1760422020000000000,1760422020,0.90875,0.908885,0.908685,0.908995,455
2025-10-14 06:07:00,2971885,1760422020,1760422080000000000,1760422080,0.908875,0.90891,0.908845,0.909095,360
2025-10-14 06:08:00,2971886,1760422080,1760422140000000000,1760422140,0.908905,0.908875,0.908765,0.908945,372
2025-10-14 06:09:00,2971887,1760422140,1760422200000000000,1760422200,0.908885,0.908895,0.90884,0.90906,431
2025-10-14 06:10:00,2971888,1760422200,1760422260000000000,1760422260,0.90891,0.9088,0.908785,0.90891,423
2025-10-14 06:11:00,2971889,1760422260,1760422320000000000,1760422320,0.908785,0.90885,0.908715,0.90887,358
2025-10-14 06:12:00,2971890,1760422320,1760422380000000000,1760422380,0.908835,0.909065,0.9087,0.90909,348
2025-10-14 06:13:00,2971891,1760422380,1760422440000000000,1760422440,0.909075,0.9093,0.909065,0.90943,365
2025-10-14 06:14:00,2971892,1760422440,1760422500000000000,1760422500,0.9093,0.909295,0.909215,0.90946,423
2025-10-14 06:15:00,2971893,1760422500,1760422560000000000,1760422560,0.90929,0.90952,0.90929,0.90965,519
2025-10-14 06:16:00,2971894,1760422560,1760422620000000000,1760422620,0.90951,0.909555,0.909495,0.90966,402
2025-10-14 06:17:00,2971895,1760422620,1760422680000000000,1760422680,0.909545,0.90961,0.90942,0.90963,404
2025-10-14 06:18:00,2971896,1760422680,1760422740000000000,1760422740,0.909605,0.90927,0.90924,0.90961,461
2025-10-14 06:19:00,2971897,1760422740,1760422800004892401,1760422800,0.90927,0.908985,0.908925,0.90928,368
2025-10-14 06:20:00,2971898,1760422800,1760422860000000000,1760422860,0.908975,0.90901,0.908775,0.909045,426
2025-10-14 06:21:00,2971899,1760422860,1760422920000000000,1760422920,0.909015,0.90895,0.908925,0.90905,359
2025-10-14 06:22:00,2971900,1760422920,1760422980000000000,1760422980,0.908945,0.908935,0.908865,0.90904,360
2025-10-14 06:23:00,2971901,1760422980,1760423040000000000,1760423040,0.908925,0.90891,0.908785,0.90904,479
2025-10-14 06:24:00,2971902,1760423040,1760423100000000000,1760423100,0.9089,0.908935,0.908865,0.90906,503
2025-10-14 06:25:00,2971903,1760423100,1760423160004248836,1760423160,0.90893,0.90877,0.90873,0.90898,463
2025-10-14 06:26:00,2971904,1760423160,1760423220000000000,1760423220,0.908765,0.90866,0.90866,0.90881,314
2025-10-14 06:27:00,2971905,1760423220,1760423280000000000,1760423280,0.908655,0.90859,0.908535,0.90866,348
2025-10-14 06:28:00,2971906,1760423280,1760423340000000000,1760423340,0.908595,0.908765,0.908585,0.90881,287
2025-10-14 06:29:00,2971907,1760423340,1760423400000000000,1760423400,0.908755,0.908785,0.908645,0.90879,311
2025-10-14 06:30:00,2971908,1760423400,1760423460000000000,1760423460,0.9088,0.90886,0.90871,0.90889,345
